<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.03.27	08:00:00	116.640	116.930	116.590	116.850	1706	0	30
2006.03.27	12:00:00	116.850	116.970	116.480	116.540	1691	0	30
2006.03.27	16:00:00	116.550	116.700	116.430	116.580	1646	0	30
2006.03.27	20:00:00	116.580	116.850	116.550	116.750	1186	0	30
2006.03.28	00:00:00	116.750	117.020	116.250	116.840	1722	0	30
2006.03.28	04:00:00	116.830	117.140	116.700	116.900	1762	0	30
2006.03.28	08:00:00	116.890	117.100	116.610	116.770	1896	0	30
2006.03.28	12:00:00	116.770	116.900	116.650	116.690	1884	0	30
2006.03.28	16:00:00	116.700	117.340	116.660	117.190	1829	0	30
2006.03.28	20:00:00	117.190	118.080	117.160	117.920	1643	0	30
2006.03.29	00:00:00	117.950	118.000	117.720	117.860	1528	0	30
2006.03.29	04:00:00	117.850	117.970	117.680	117.730	1491	0	30
2006.03.29	08:00:00	117.730	118.030	117.630	117.910	1730	0	30
2006.03.29	12:00:00	117.900	118.080	117.720	118.040	1684	0	30
2006.03.29	16:00:00	118.040	118.240	117.550	117.580	1676	0	30
2006.03.29	20:00:00	117.580	117.890	117.490	117.830	1396	0	30
2006.03.30	00:00:00	117.820	117.970	117.620	117.720	1562	0	30
2006.03.30	04:00:00	117.710	117.840	117.360	117.550	1803	0	30
2006.03.30	08:00:00	117.570	117.820	117.250	117.290	1707	0	30
2006.03.30	12:00:00	117.290	117.910	117.250	117.770	1659	0	30
